image_id,width,height,patch_size,stride,num_patches,coverage_ok,min_coverage,max_coverage
DJI_0040_JPG.rf.jnnqKrO8jgxJLCKk4cHu,4032,3024,512,384,88,true,1,6
DJI_0041_JPG.rf.AhEXe59McNqMV9ZJVgOI,4032,3024,512,384,88,true,1,6
DJI_0042_JPG.rf.FGMquUU7t2bAR7l6zz7k,4032,3024,512,384,88,true,1,6
DJI_0043_JPG.rf.LYaR0TnwzdNslyN2ppzj,4032,3024,512,384,88,true,1,6
DJI_0044_JPG.rf.J9POgzSxifXiHV9eSbmX,4032,3024,512,384,88,true,1,6
DJI_0045_JPG.rf.y8UgQ8J8q0hP2GaO3vjM,4032,3024,512,384,88,true,1,6
DJI_0046_JPG.rf.OneZ2F8Wcp0jWZxGOcmG,4032,3024,512,384,88,true,1,6
DJI_0048_JPG.rf.X8fgvcAPZv8LtQn43M26,4032,3024,512,384,88,true,1,6
DJI_0049_JPG.rf.rTt9w3ii4FRk6UEOvzvn,4032,3024,512,384,88,true,1,6
DJI_0050_JPG.rf.nvLN83DlaSm8fPH0dmMS,4032,3024,512,384,88,true,1,6
DJI_0051_JPG.rf.LO7UAj3Wx3GU9KtWH7O0,4032,3024,512,384,88,true,1,6
DJI_0052_JPG.rf.hqZRiZFYRatF413EtUkU,4032,3024,512,384,88,true,1,6
DJI_0053_JPG.rf.nQ9d0IqWf65Q8UP0g0W6,4032,3024,512,384,88,true,1,6
DJI_0054_JPG.rf.40RTcdmHKBHAOds61PDS,4032,3024,512,384,88,true,1,6
DJI_0055_JPG.rf.9MbieIUXNvhMcQQAAWmt,4032,3024,512,384,88,true,1,6
DJI_0056_JPG.rf.NiPglQcVMiJ7OEHOfaM2,4032,3024,512,384,88,true,1,6
DJI_0057_JPG.rf.7Rq9A6jCjWCEukKBcgtq,4032,3024,512,384,88,true,1,6
DJI_0059_JPG.rf.FdKD7IM9xdF86AEUUsUZ,4032,3024,512,384,88,true,1,6
DJI_0060_JPG.rf.NHxC2Z2QmMwT12b1e1Wr,4032,3024,512,384,88,true,1,6
DJI_0061_JPG.rf.65hWuCcgtSf0HCdJErYx,4032,3024,512,384,88,true,1,6
DJI_0063_JPG.rf.Kwyl7plnjSyh4AwFpgPv,4032,3024,512,384,88,true,1,6
DJI_0064_JPG.rf.uSwkWXOhEmXbH4toZm56,4032,3024,512,384,88,true,1,6
DJI_0065_JPG.rf.p3edoZZQvd2QKH2rnOFh,4032,3024,512,384,88,true,1,6
DJI_0066_JPG.rf.nu1IOWHcdmG1VpGwTyZw,4032,3024,512,384,88,true,1,6
DJI_0067_JPG.rf.aNWRYoKu1StYttikq8qS,4032,3024,512,384,88,true,1,6
DJI_0068_JPG.rf.gZ10x4Gb6lW9rMkCh7aS,4032,3024,512,384,88,true,1,6
DJI_0069_JPG.rf.WxOwzvxUj9I8ZXZzzVnv,4032,3024,512,384,88,true,1,6
DJI_0072_JPG.rf.9SQNMZKuE4VI23CGQEpx,4032,3024,512,384,88,true,1,6
DJI_0073_JPG.rf.yjeevWrKUyvEuMPSkZlN,4032,3024,512,384,88,true,1,6
DJI_0074_JPG.rf.ynnXayAkKmGmjBiddifd,4032,3024,512,384,88,true,1,6
DJI_0075_JPG.rf.UO6fnTHfZITBPS0NdXER,4032,3024,512,384,88,true,1,6
DJI_0079_JPG.rf.HDj5tYHdB4LI2GY8gtun,4032,3024,512,384,88,true,1,6
DJI_0080_JPG.rf.DfHZBe3ZRk9epFdZ92oK,4032,3024,512,384,88,true,1,6
DJI_0081_JPG.rf.E8FfZiF50aYwuy0HUEbe,4032,3024,512,384,88,true,1,6
DJI_0082_JPG.rf.EhNIPrtvFVQuURsYI8iS,4032,3024,512,384,88,true,1,6
DJI_0084_JPG.rf.IzemWlm9PNrjYqW3YJV4,4032,3024,512,384,88,true,1,6
DJI_0085_JPG.rf.CuUFiHP4qxqYR9FtgCTQ,4032,3024,512,384,88,true,1,6
DJI_0087_JPG.rf.mvqVa2lnl8L8AjUxMWAT,4032,3024,512,384,88,true,1,6
DJI_0089_JPG.rf.I8DW0SuN9ncRvQ0cZzap,4032,3024,512,384,88,true,1,6
DJI_0091_JPG.rf.NptPZ1JBKEpdtB8bvk9C,4032,3024,512,384,88,true,1,6
DJI_0092_JPG.rf.HwVfP7I5uQTZTZsAvXpb,4032,3024,512,384,88,true,1,6
DJI_0093_JPG.rf.p2Qyw5P0Kuk13IyJip3r,4032,3024,512,384,88,true,1,6
DJI_0094_JPG.rf.Se5iP5BqnTywo5R8Bgeu,4032,3024,512,384,88,true,1,6
DJI_0095_JPG.rf.1BoPn2wAUJszX0XCQpVr,4032,3024,512,384,88,true,1,6
DJI_0096_JPG.rf.10Dz6kJy2ezvcrXQQGva,4032,3024,512,384,88,true,1,6
DJI_0097_JPG.rf.nO2IVkMZYC6nKCDzpBEU,4032,3024,512,384,88,true,1,6
DJI_0098_JPG.rf.PtXKkL7qK8m5IRRM7hC4,4032,3024,512,384,88,true,1,6
