setting_key,setting_label,stage,seed,threshold,experiment_name,checkpoint_path,iou,f1,precision,recall
source_only,Source-only @ 0.5,Source-only,7,0.5,segformer_b2_plain_360_seed007_uav_holdout_raw_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360_seed007.pth,0.1625267101658715,0.2740467900321597,0.17824216636400375,0.670779285922883
source_only,Source-only @ 0.5,Source-only,13,0.5,segformer_b2_plain_360_seed013_uav_holdout_raw_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360_seed013.pth,0.15075473179892887,0.25281859201098245,0.15915057488850184,0.6967426055953616
source_only,Source-only @ 0.5,Source-only,42,0.5,segformer_b2_plain_360_seed042_uav_holdout_raw_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360_seed042.pth,0.14941253193787166,0.25714236355963205,0.15833994556987097,0.741530318108816
b1_promoted,B1 promoted TS-bank @ 0.6,B1,7,0.6,segformer_b2_b1_tsbank_thr080_mean082_seed007_test_thr060,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_tsbank_thr080_mean082_seed007.pth,0.3134091704610794,0.4610403303116087,0.5090262123516628,0.48297962499043295
b1_promoted,B1 promoted TS-bank @ 0.6,B1,13,0.6,segformer_b2_b1_tsbank_thr080_mean082_seed013_test_thr060,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_tsbank_thr080_mean082_seed013.pth,0.36567235371423146,0.5246057311693827,0.4922157336795141,0.6076101111987281
b1_promoted,B1 promoted TS-bank @ 0.6,B1,42,0.6,segformer_b2_b1_tsbank_thr080_mean082_seed042_test_thr060,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_tsbank_thr080_mean082_seed042.pth,0.328974049242716,0.48525352421261014,0.43417137104367454,0.6198382510079278
b2_fs05,B2 fs05 @ 0.5,B2,7,0.5,segformer_b2_b2_fs05_datasplit042_seed007_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs05_datasplit042_seed007.pth,0.4728326892095899,0.6305961977867853,0.5910523193223136,0.69453198474551
b2_fs05,B2 fs05 @ 0.5,B2,13,0.5,segformer_b2_b2_fs05_datasplit042_seed013_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs05_datasplit042_seed013.pth,0.4686394390605745,0.6250319187603299,0.5957058819513472,0.6910942887503003
b2_fs05,B2 fs05 @ 0.5,B2,42,0.5,segformer_b2_b2_fs05_datasplit042_seed042_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs05_datasplit042_seed042.pth,0.5026453194164094,0.6644771259928507,0.6218064521986341,0.7249352194014049
b2_fs10,B2 fs10 @ 0.5,B2,7,0.5,segformer_b2_b2_fs10_datasplit042_seed007_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs10_datasplit042_seed007.pth,0.5409899704040043,0.6954720266281612,0.6536223841091943,0.7499426792538355
b2_fs10,B2 fs10 @ 0.5,B2,13,0.5,segformer_b2_b2_fs10_datasplit042_seed013_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs10_datasplit042_seed013.pth,0.5123561914004977,0.6706627796566675,0.6385878740795075,0.7160101466708713
b2_fs10,B2 fs10 @ 0.5,B2,42,0.5,segformer_b2_b2_fs10_datasplit042_seed042_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs10_datasplit042_seed042.pth,0.551559845606486,0.705889157832615,0.6927002999517653,0.7279046944209507
b2_fs20,B2 fs20 @ 0.5,B2,7,0.5,segformer_b2_b2_fs20_datasplit042_seed007_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs20_datasplit042_seed007.pth,0.5967948616497101,0.7436834223686702,0.7202515384507557,0.7710487322201804
b2_fs20,B2 fs20 @ 0.5,B2,13,0.5,segformer_b2_b2_fs20_datasplit042_seed013_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs20_datasplit042_seed013.pth,0.5793003222299,0.7294542060958015,0.6987458533710904,0.7688180056829301
b2_fs20,B2 fs20 @ 0.5,B2,42,0.5,segformer_b2_b2_fs20_datasplit042_seed042_test,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs20_datasplit042_seed042.pth,0.5882456444558644,0.7364068807117523,0.7157123249674601,0.76167560096771
